[?1034h== Refs (2869 B) ==
+------------+------------------+----------------+-------+
| Path       | Uncompressed (B) | Compressed (B) | Ratio |
| /Event/PrevPrev/pSim/Rich/OpticalPhotons               |      249890      |     60261      |  4.15 |
| /Event/PrevPrev/pSim/Rich/Segments                     |      32074       |      2703      | 11.87 |
| /Event/PrevPrev/pSim/Rich/Tracks                       |       3740       |      997       |  3.75 |
| /Event/PrevPrev/pSim/UT                                |       261        |      261       |  1.00 |
| /Event/PrevPrev/pSim/UT/Hits                           |      16766       |      7387      |  2.27 |
| /Event/PrevPrev/pSim/VP                                |       261        |      261       |  1.00 |
| /Event/PrevPrev/pSim/VP/Hits                           |      46790       |     15959      |  2.93 |
| /Event/Rec                                             |       283        |      283       |  1.00 |
| /Event/Rec/Header                                      |       548        |      540       |  1.01 |
| /Event/Rec/Status                                      |       332        |      332       |  1.00 |
| /Event/Rec/Summary                                     |       417        |      410       |  1.02 |
| /Event/Rich                                            |       237        |      237       |  1.00 |
| /Event/Rich/RawEvent                                   |      22423       |      7707      |  2.91 |
| /Event/Tracker                                         |       243        |      243       |  1.00 |
| /Event/Tracker/RawEvent                                |      20767       |     13701      |  1.52 |
| /Event/Trigger                                         |       243        |      243       |  1.00 |
| /Event/Trigger/RawEvent                                |       378        |      378       |  1.00 |
| /Event/Unstripped                                      |       249        |      249       |  1.00 |
| /Event/Unstripped/RawEvent                             |       269        |      269       |  1.00 |
| /Event/Velo                                            |       237        |      237       |  1.00 |
| /Event/Velo/RawEvent                                   |      14595       |      9337      |  1.56 |
| /Event/pRec                                            |       357        |      308       |  1.16 |
| /Event/pRec/Calo                                       |       319        |      314       |  1.01 |
| /Event/pRec/Calo/Electrons                             |       9440       |      5185      |  1.82 |
| /Event/pRec/Calo/MergedPi0s                            |       1290       |      469       |  2.75 |
| /Event/pRec/Calo/Photons                               |      12040       |      6541      |  1.84 |
| /Event/pRec/Calo/SplitPhotons                          |       2134       |      1325      |  1.61 |
| /Event/pRec/Muon                                       |       247        |      247       |  1.00 |
| /Event/pRec/Muon/MuonPID                               |       4564       |      909       |  5.02 |
| /Event/pRec/ProtoP                                     |       275        |      275       |  1.00 |
| /Event/pRec/ProtoP/Charged                             |      31568       |      9369      |  3.37 |
| /Event/pRec/ProtoP/Neutrals                            |      35458       |      8475      |  4.18 |
| /Event/pRec/Rich                                       |       247        |      247       |  1.00 |
| /Event/pRec/Rich/PIDs                                  |       5112       |      1761      |  2.90 |
| /Event/pRec/Track                                      |       273        |      273       |  1.00 |
| /Event/pRec/Track/Best                                 |      72237       |     35085      |  2.06 |
| /Event/pRec/Track/Muon                                 |       2495       |      895       |  2.79 |
| /Event/pRec/Vertex                                     |       275        |      275       |  1.00 |
| /Event/pRec/Vertex/Primary                             |       2581       |      1117      |  2.31 |
| /Event/pRec/Vertex/V0                                  |       286        |      286       |  1.00 |
| /Event/pSim                                            |       429        |      322       |  1.33 |
| /Event/pSim/Ecal                                       |       247        |      247       |  1.00 |
| /Event/pSim/Ecal/Hits                                  |      224256      |     53107      |  4.22 |
| /Event/pSim/FT                                         |       243        |      243       |  1.00 |
| /Event/pSim/FT/Hits                                    |      140924      |     65005      |  2.17 |
| /Event/pSim/Hcal                                       |       247        |      247       |  1.00 |
| /Event/pSim/Hcal/Hits                                  |      34876       |      8731      |  3.99 |
| /Event/pSim/MCParticles                                |      356698      |     77557      |  4.60 |
| /Event/pSim/MCVertices                                 |      344170      |     114193     |  3.01 |
| /Event/pSim/Muon                                       |       247        |      247       |  1.00 |
| /Event/pSim/Muon/Hits                                  |      16656       |      8689      |  1.92 |
| /Event/pSim/Rich                                       |       343        |      332       |  1.03 |
| /Event/pSim/Rich/DigitSummaries                        |      79876       |     11469      |  6.96 |
| /Event/pSim/Rich/Hits                                  |      216912      |     76317      |  2.84 |
| /Event/pSim/Rich/OpticalPhotons                        |      647636      |     155029     |  4.18 |
| /Event/pSim/Rich/Segments                              |      82240       |      6067      | 13.56 |
| /Event/pSim/Rich/Tracks                                |       9098       |      1923      |  4.73 |
| /Event/pSim/UT                                         |       243        |      243       |  1.00 |
| /Event/pSim/UT/Hits                                    |      50468       |     20867      |  2.42 |
| /Event/pSim/VP                                         |       243        |      243       |  1.00 |
| /Event/pSim/VP/Hits                                    |      108380      |     35845      |  3.02 |
+--------------------------------------------------------+------------------+----------------+-------+
== Total ==
Disk size: 7626 kB
Trees size: 7598 kB
